Statement Period;Statement Number;Transaction Date;Fee Name;Amount(Include Tax);VAT Amount;Release Status;Release Date;Comment;Order Creation Date;Order Number;Order Line ID;Seller SKU;Lazada SKU;WHT Amount;WHT included in Amount;Order Status;Product Name;Short Code
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;19 May 2026;Sponsored Solutions: Top-Up;-1150;0;Released;25 May 2026;Top Up Fee;;;;;;0;NO;;;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;19 May 2026;Payment Fee Refunded;40.48;5.584;Released;25 May 2026;;08 May 2026;241678248861912;241678248961912;N-USP01B;1952113996_PK-14014332868;0;NO;Returned;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;19 May 2026;Product Price Refunded to Buyer;-1551;0;Released;25 May 2026;;08 May 2026;241678248861912;241678248961912;N-USP01B;1952113996_PK-14014332868;0;NO;Returned;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;19 May 2026;Commission Fee Refunded;251.88;34.7424;Released;25 May 2026;;08 May 2026;241678248861912;241678248961912;N-USP01B;1952113996_PK-14014332868;0;NO;Returned;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;19 May 2026;Reversal of Free Shipping Max Fee;107.95;14.8896;Released;25 May 2026;;08 May 2026;241678248861912;241678248961912;N-USP01B;1952113996_PK-14014332868;0;NO;Returned;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;19 May 2026;Co-funded Voucher Max Reversal;31.02;0;Released;25 May 2026;;08 May 2026;241678248861912;241678248961912;N-USP01B;1952113996_PK-14014332868;0;NO;Returned;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;19 May 2026;Reversal of Income Tax Withholding;15;0;Released;25 May 2026;;08 May 2026;241678248861912;241678248961912;N-USP01B;1952113996_PK-14014332868;0;NO;Returned;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;19 May 2026;Reversal of Sales Tax Withholding;30;0;Released;25 May 2026;;08 May 2026;241678248861912;241678248961912;N-USP01B;1952113996_PK-14014332868;0;NO;Returned;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;22 May 2026;Handling Fee for Return;-23.2;3.2;Released;25 May 2026;;08 May 2026;241678248861912;241678248961912;N-USP01B;1952113996_PK-14014332868;0;NO;Returned;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Payment Fee;-39.65;5.4688;Released;25 May 2026;;14 May 2026;242016087622822;242016087722822;N-USP01W;1952113996_PK-14014332867;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Product Price Paid by Buyer;1519;0;Released;25 May 2026;;14 May 2026;242016087622822;242016087722822;N-USP01W;1952113996_PK-14014332867;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Commission Fee;-246.69;34.0256;Released;25 May 2026;;14 May 2026;242016087622822;242016087722822;N-USP01W;1952113996_PK-14014332867;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Shipping Fee;-255.2;35.2;Released;25 May 2026;;14 May 2026;242016087622822;242016087722822;N-USP01W;1952113996_PK-14014332867;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Handling Fee;-23.2;3.2;Released;25 May 2026;;14 May 2026;242016087622822;242016087722822;N-USP01W;1952113996_PK-14014332867;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Shipping Fee Discount;255.2;35.2;Released;25 May 2026;;14 May 2026;242016087622822;242016087722822;N-USP01W;1952113996_PK-14014332867;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Free Shipping Max Fee;-105.72;14.5824;Released;25 May 2026;;14 May 2026;242016087622822;242016087722822;N-USP01W;1952113996_PK-14014332867;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Co-funded Voucher Max;-30.38;0;Released;25 May 2026;;14 May 2026;242016087622822;242016087722822;N-USP01W;1952113996_PK-14014332867;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
