Statement Period;Statement Number;Transaction Date;Fee Name;Amount(Include Tax);VAT Amount;Release Status;Release Date;Comment;Order Creation Date;Order Number;Order Line ID;Seller SKU;Lazada SKU;WHT Amount;WHT included in Amount;Order Status;Product Name;Short Code
01 Jun 2026 - 07 Jun 2026;PK2NBYJ4S19-2026-023;05 Jun 2026;Sponsored Solutions: Top-Up;-1150;0;Ready to Release;;Top Up Fee;;;;;;0;NO;;;PK2NBYJ4S19
01 Jun 2026 - 07 Jun 2026;PK2NBYJ4S19-2026-023;06 Jun 2026;Sponsored Solutions: Top-Up;-1150;0;Ready to Release;;Top Up Fee;;;;;;0;NO;;;PK2NBYJ4S19
01 Jun 2026 - 07 Jun 2026;PK2NBYJ4S19-2026-023;02 Jun 2026;Payment Fee;-7.39;1.0192;Ready to Release;;;18 May 2026;242243205316513;242243205416513;912223172-1756199494024-0;932557797_PK-3988937280;0;NO;Delivered;Best 2 In 1 Stylus Pen For Mobile Phone Tablet Drawing Capacitive Pencil Universal Touch Screen Pen for  Android Tablet Best Stylus pen for IOS Android and Windows Global Gadgets;PK2NBYJ4S19
01 Jun 2026 - 07 Jun 2026;PK2NBYJ4S19-2026-023;02 Jun 2026;Shipping Fee Paid by Buyer;85;0;Ready to Release;;;18 May 2026;242243205316513;242243205416513;912223172-1756199494024-0;932557797_PK-3988937280;0;NO;Delivered;Best 2 In 1 Stylus Pen For Mobile Phone Tablet Drawing Capacitive Pencil Universal Touch Screen Pen for  Android Tablet Best Stylus pen for IOS Android and Windows Global Gadgets;PK2NBYJ4S19
01 Jun 2026 - 07 Jun 2026;PK2NBYJ4S19-2026-023;02 Jun 2026;Product Price Paid by Buyer;283;0;Ready to Release;;;18 May 2026;242243205316513;242243205416513;912223172-1756199494024-0;932557797_PK-3988937280;0;NO;Delivered;Best 2 In 1 Stylus Pen For Mobile Phone Tablet Drawing Capacitive Pencil Universal Touch Screen Pen for  Android Tablet Best Stylus pen for IOS Android and Windows Global Gadgets;PK2NBYJ4S19
01 Jun 2026 - 07 Jun 2026;PK2NBYJ4S19-2026-023;02 Jun 2026;Commission Fee;-45.96;6.3392;Ready to Release;;;18 May 2026;242243205316513;242243205416513;912223172-1756199494024-0;932557797_PK-3988937280;0;NO;Delivered;Best 2 In 1 Stylus Pen For Mobile Phone Tablet Drawing Capacitive Pencil Universal Touch Screen Pen for  Android Tablet Best Stylus pen for IOS Android and Windows Global Gadgets;PK2NBYJ4S19
01 Jun 2026 - 07 Jun 2026;PK2NBYJ4S19-2026-023;02 Jun 2026;Shipping Fee;-348;48;Ready to Release;;;18 May 2026;242243205316513;242243205416513;912223172-1756199494024-0;932557797_PK-3988937280;0;NO;Delivered;Best 2 In 1 Stylus Pen For Mobile Phone Tablet Drawing Capacitive Pencil Universal Touch Screen Pen for  Android Tablet Best Stylus pen for IOS Android and Windows Global Gadgets;PK2NBYJ4S19
01 Jun 2026 - 07 Jun 2026;PK2NBYJ4S19-2026-023;02 Jun 2026;Handling Fee;-11.6;1.6;Ready to Release;;;18 May 2026;242243205316513;242243205416513;912223172-1756199494024-0;932557797_PK-3988937280;0;NO;Delivered;Best 2 In 1 Stylus Pen For Mobile Phone Tablet Drawing Capacitive Pencil Universal Touch Screen Pen for  Android Tablet Best Stylus pen for IOS Android and Windows Global Gadgets;PK2NBYJ4S19
01 Jun 2026 - 07 Jun 2026;PK2NBYJ4S19-2026-023;02 Jun 2026;Shipping Fee Discount;249.4;34.4;Ready to Release;;;18 May 2026;242243205316513;242243205416513;912223172-1756199494024-0;932557797_PK-3988937280;0;NO;Delivered;Best 2 In 1 Stylus Pen For Mobile Phone Tablet Drawing Capacitive Pencil Universal Touch Screen Pen for  Android Tablet Best Stylus pen for IOS Android and Windows Global Gadgets;PK2NBYJ4S19
01 Jun 2026 - 07 Jun 2026;PK2NBYJ4S19-2026-023;02 Jun 2026;Free Shipping Max Fee;-19.7;2.7168;Ready to Release;;;18 May 2026;242243205316513;242243205416513;912223172-1756199494024-0;932557797_PK-3988937280;0;NO;Delivered;Best 2 In 1 Stylus Pen For Mobile Phone Tablet Drawing Capacitive Pencil Universal Touch Screen Pen for  Android Tablet Best Stylus pen for IOS Android and Windows Global Gadgets;PK2NBYJ4S19
01 Jun 2026 - 07 Jun 2026;PK2NBYJ4S19-2026-023;02 Jun 2026;Co-funded Voucher Max;-5.66;0;Ready to Release;;;18 May 2026;242243205316513;242243205416513;912223172-1756199494024-0;932557797_PK-3988937280;0;NO;Delivered;Best 2 In 1 Stylus Pen For Mobile Phone Tablet Drawing Capacitive Pencil Universal Touch Screen Pen for  Android Tablet Best Stylus pen for IOS Android and Windows Global Gadgets;PK2NBYJ4S19
01 Jun 2026 - 07 Jun 2026;PK2NBYJ4S19-2026-023;02 Jun 2026;Income Tax Withholding;-6;0;Ready to Release;;;18 May 2026;242243205316513;242243205416513;912223172-1756199494024-0;932557797_PK-3988937280;0;NO;Delivered;Best 2 In 1 Stylus Pen For Mobile Phone Tablet Drawing Capacitive Pencil Universal Touch Screen Pen for  Android Tablet Best Stylus pen for IOS Android and Windows Global Gadgets;PK2NBYJ4S19
